"Country,",Total,New,Total,New,Total,Active,"Serious,",Tot Cases/,Deaths/,1st
Other,Cases,Cases,Deaths,Deaths,Recovered,Cases,Critical,1M pop,1M pop,case
Afghanistan,110,,4,,2,104,,3,0.1,23-Feb
Sri Lanka,110,4,,,9,101,5,5,,26-Jan
Uzbekistan,104,16,2,1,5,97,8,3,0.06,14-Mar
Ivory Coast,101,,,,3,98,,4,,10-Mar
Cambodia,99,,,,13,86,1,6,,26-Jan
Palestine,97,6,1,,18,78,,19,0.2,4-Mar
Guadeloupe,96,23,2,1,17,77,4,240,5,12-Mar
Honduras,95,27,1,,3,91,4,10,0.1,10-Mar
Mauritius,94,,2,,,92,1,74,2,17-Mar
Belarus,94,,,,32,62,2,10,,27-Feb
Martinique,93,,1,,,92,12,248,3,4-Mar
Cameroon,91,,2,,2,87,,3,0.08,5-Mar
Channel Islands,88,,1,,,87,,506,6,8-Mar
Georgia,85,2,,,14,71,1,21,,25-Feb
Montenegro,82,,1,,,81,1,131,2,16-Mar
Nigeria,81,11,1,,3,77,,0.4,0,27-Feb
Cuba,80,,2,,4,74,2,7,0.2,10-Mar
Bolivia,74,13,,,,74,,6,,9-Mar
Trinidad and Tobago,66,,2,,1,63,,47,1,11-Mar
DRC,58,7,6,3,2,50,,0.6,0.07,9-Mar
Kyrgyzstan,58,,,,,58,,9,,17-Mar
Paraguay,56,4,3,,1,52,1,8,0.4,6-Mar
Liechtenstein,56,,,,,56,,"1,469",,2-Mar
Gibraltar,55,,,,14,41,,"1,632",,2-Mar
Rwanda,54,,,,,54,,4,,13-Mar
Mayotte,50,,,,,50,,183,,13-Mar
Bangladesh,48,,5,,15,28,1,0.3,0.03,7-Mar
Monaco,42,,,,1,41,,"1,070",,27-Feb
Kenya,38,7,1,,1,36,2,0.7,0.02,12-Mar
Macao,34,,,,10,24,,52,,21-Jan
Aruba,33,,,,1,32,,309,,12-Mar
Guatemala,32,4,1,,4,27,1,2,0.06,12-Mar
Isle of Man,32,3,,,,32,,376,,18-Mar
Jamaica,30,4,1,,2,27,,10,0.3,9-Mar
French Polynesia,30,,,,,30,,107,,10-Mar
French Guiana,28,,,,6,22,,94,,6-Mar
Zambia,28,6,,,,28,,2,,17-Mar
Barbados,26,,,,,26,,90,,16-Mar
Madagascar,26,,,,,26,,0.9,,19-Mar
Togo,25,,1,,1,23,,3,0.1,5-Mar
Uganda,23,,,,,23,,0.5,,20-Mar
El Salvador,19,6,,,,19,,3,,18-Mar
Mali,18,7,,,,18,,0.9,,24-Mar
Bermuda,17,,,,2,15,,273,,17-Mar
Ethiopia,16,,,,1,15,,0.1,,12-Mar
Maldives,16,,,,9,7,,30,,6-Mar
New Caledonia,15,,,,,15,,53,,17-Mar
Tanzania,13,,,,1,12,,0.2,,15-Mar
Djibouti,12,,,,,12,,12,,17-Mar
Equatorial Guinea,12,,,,,12,,9,,13-Mar
Mongolia,12,1,,,,12,,4,,9-Mar
Dominica,11,,,,,11,,153,,21-Mar
Saint Martin,11,,,,,11,,284,,29-Feb
Niger,10,,1,,,9,,0.4,0.04,18-Mar
Bahamas,10,,,,1,9,,25,,14-Mar
Greenland,10,,,,2,8,,176,,15-Mar
Eswatini,9,,,,,9,,8,,13-Mar
Cayman Islands,8,,1,,,7,,122,15,12-Mar
Curaçao,8,,1,,2,5,,49,6,12-Mar
Guinea,8,,,,,8,,0.6,,12-Mar
Haiti,8,,,,,8,,0.7,,19-Mar
Myanmar,8,,,,,8,,0.1,,22-Mar
Namibia,8,,,,2,6,,3,,13-Mar
Suriname,8,,,,,8,,14,,12-Mar
Gabon,7,,1,,,6,,3,0.4,12-Mar
Zimbabwe,7,2,1,,,6,,0.5,0.07,19-Mar
Antigua and Barbuda,7,,,,,7,,71,,12-Mar
Grenada,7,,,,,7,,62,,21-Mar
Mozambique,7,,,,,7,,0.2,,21-Mar
Seychelles,7,,,,,7,,71,,13-Mar
Benin,6,,,,,6,,0.5,,15-Mar
Eritrea,6,,,,,6,,2,,20-Mar
Laos,6,,,,,6,,0.8,,23-Mar
Cabo Verde,5,,1,,,4,,9,2,19-Mar
Guyana,5,,1,,,4,,6,1,11-Mar
Sudan,5,2,1,,,4,,0.1,0.02,12-Mar
Nepal,5,1,,,1,4,,0.2,,23-Jan
Fiji,5,,,,,5,,6,,18-Mar
Mauritania,5,2,,,,5,,1,,12-Mar
Montserrat,5,,,,,5,,"1,002",,17-Mar
St. Barth,5,,,,,5,,506,,29-Feb
Syria,5,,,,,5,,0.3,,21-Mar
Nicaragua,4,,1,,,3,,0.6,0.2,18-Mar
Angola,4,,,,,4,,0.1,,19-Mar
Congo,4,,,,,4,,0.7,,14-Mar
Vatican City,4,,,,,4,,"4,994",,5-Mar
Gambia,3,,1,,,2,,1,0.4,16-Mar
Bhutan,3,,,,,3,,4,,5-Mar
CAR,3,,,,,3,,0.6,,14-Mar
Chad,3,,,,,3,,0.2,,18-Mar
Liberia,3,,,,,3,,0.6,,15-Mar
Saint Lucia,3,,,,1,2,,16,,12-Mar
Sint Maarten,3,,,,,3,,70,,17-Mar
Somalia,3,,,,,3,,0.2,,15-Mar
MS Zaandam,2,,,,,2,,,,26-Mar
Anguilla,2,,,,,2,,133,,25-Mar
Belize,2,,,,,2,,5,,22-Mar
British Virgin Islands,2,,,,,2,,66,,24-Mar
Guinea-Bissau,2,,,,,2,,1,,24-Mar
Saint Kitts and Nevis,2,,,,,2,,38,,24-Mar
Turks and Caicos,2,,,,,2,,52,,22-Mar
Libya,1,,,,,1,,0.1,,23-Mar
Papua New Guinea,1,,,,,1,,0.1,,19-Mar
St. Vincent Grenadines,1,,,,,1,,9,,10-Mar
Timor-Leste,1,,,,,1,,0.8,,20-Mar
Total:,"614,811","18,499","28,282",941,"137,336","449,193","23,997",78.9,3.6,
